X[m], Tg[K], Pg[Pa], Rhog[kg/m^3], Rd[m], Yf, Ug[m/s], HRR
0.0165403638 2661.408855 1989593.059016 2.547945 3.642232e-06 4.310468e-08 612.749160 1.713083e+11
0.0168854490 2676.955914 1974767.853523 2.512368 3.587111e-06 3.965993e-08 622.117707 1.710193e+11
0.0175558024 2705.821254 1945506.878070 2.445268 3.477703e-06 3.411961e-08 640.548238 1.646967e+11
0.0182261558 2732.508642 1916070.639509 2.381536 3.366264e-06 2.902891e-08 658.961291 1.566337e+11
0.0188965092 2756.590513 1886969.987795 2.321888 3.253871e-06 2.431415e-08 677.038817 1.461303e+11
0.0195668626 2777.808862 1858532.408845 2.266621 3.141025e-06 1.999451e-08 694.703777 1.327579e+11
0.0205018809 2802.788662 1820268.915756 2.196531 2.983153e-06 1.759737e-08 718.478975 1.185973e+11
0.0214368991 2822.833248 1783755.620638 2.133824 2.824728e-06 1.506014e-08 741.184741 1.037978e+11
0.0223719174 2838.710587 1749005.395567 2.077463 2.665323e-06 1.273957e-08 762.763337 9.160244e+10
0.0233069356 2851.112028 1715924.172324 2.026494 2.504320e-06 1.103120e-08 783.273607 8.023630e+10
0.0242419539 2860.626744 1684462.138492 1.980195 2.340995e-06 9.612354e-09 802.762689 7.034045e+10
0.0248262617 2865.320663 1665577.027155 1.953349 2.237381e-06 8.825935e-09 814.460339 6.466622e+10
0.0254105694 2869.164407 1647264.998204 1.927959 2.132260e-06 8.109114e-09 825.809922 5.941170e+10
0.0259948772 2872.241722 1629484.335609 1.903892 2.025316e-06 7.445601e-09 836.839147 5.457653e+10
0.0265791849 2874.640993 1612215.346698 1.881043 1.916174e-06 6.822363e-09 847.559126 5.011219e+10
0.0271634927 2876.444704 1595449.112263 1.859326 1.804386e-06 6.231237e-09 857.974194 4.590476e+10
0.0277286593 2877.704765 1579734.637823 1.839359 1.693223e-06 5.680632e-09 867.740986 4.212230e+10
0.0282938259 2878.544353 1564505.968980 1.820354 1.578436e-06 5.145525e-09 877.211261 3.857566e+10
0.0288589926 2879.015676 1549761.743087 1.802267 1.459206e-06 4.619002e-09 886.386332 3.526177e+10
0.0294241592 2879.169727 1535509.837530 1.785067 1.334446e-06 4.095599e-09 895.261305 3.212899e+10
