X[m], Tg[K], Pg[Pa], Rhog[kg/m^3], Rd[m], Yf, Ug[m/s], HRR
0.0433904682 3191.045131 2826442.198033 2.931375 2.026677e-06 1.026901e-09 634.030484 2.836020e+10
0.0443606877 3193.900894 2821151.690604 2.920471 1.908032e-06 9.417438e-10 636.861477 2.491806e+10
0.0453309072 3196.414090 2816312.764906 2.910579 1.784087e-06 8.580552e-10 639.445907 2.387207e+10
0.0462592122 3198.522726 2812101.722149 2.902033 1.659435e-06 7.790982e-10 641.689095 2.111475e+10
0.0471875172 3200.364047 2808299.504842 2.894364 1.527380e-06 7.001152e-10 643.711770 1.882072e+10
0.0481158223 3201.954324 2804908.069941 2.887566 1.385800e-06 6.202339e-10 645.522484 1.643471e+10
0.0490441273 3203.316229 2801931.724957 2.881628 1.231421e-06 5.378693e-10 647.116040 1.412082e+10
0.0499724323 3204.463473 2799384.159620 2.876565 1.058738e-06 4.510488e-10 648.482925 1.114336e+10
0.0507494702 3205.267437 2797599.960034 2.873025 8.925299e-07 3.717070e-10 649.439516 1.000136e+10
0.0515265081 3205.927532 2796167.345949 2.870182 6.916772e-07 2.807030e-10 650.207620 7.432124e+09
0.0517596195 3206.097240 2795812.658251 2.869477 6.208927e-07 2.496463e-10 650.397722 6.926369e+09
0.0519927309 3206.253514 2795497.406014 2.868849 5.414993e-07 2.152514e-10 650.566603 6.089768e+09
0.0522258422 3206.395952 2795225.975828 2.868306 4.492407e-07 1.756530e-10 650.711964 5.146314e+09
0.0524589536 3206.524108 2795005.088999 2.867861 3.343367e-07 1.277549e-10 650.830270 4.037392e+09
0.0525288870 3206.559830 2794949.946138 2.867748 2.926015e-07 1.103194e-10 650.859813 3.673494e+09
0.0525988204 3206.594498 2794900.812597 2.867647 2.443181e-07 9.041700e-11 650.886136 3.253132e+09
0.0526687538 3206.628453 2794858.493483 2.867559 1.851525e-07 6.589855e-11 650.908808 2.771339e+09
0.0526897339 3206.638562 2794847.272912 2.867536 1.641691e-07 5.745222e-11 650.914820 2.609248e+09
0.0527107139 3206.648700 2794836.807554 2.867513 1.405839e-07 4.783529e-11 650.920426 2.439028e+09
0.0527316939 3206.658948 2794827.147102 2.867492 1.131843e-07 3.676922e-11 650.925602 2.255268e+09
0.0527526739 3206.669457 2794818.354358 2.867473 7.950698e-08 2.304474e-11 650.930313 2.054137e+09
0.0527589679 3206.672687 2794815.897633 2.867468 6.760099e-08 1.835414e-11 650.931629 1.988474e+09
0.0527652619 3206.675971 2794813.529748 2.867462 5.450294e-08 1.307192e-11 650.932898 1.921419e+09
0.0527715560 3206.679326 2794811.249550 2.867457 4.067053e-08 7.485460e-12 650.934119 1.849893e+09
0.0527778500 3206.682740 2794809.071898 2.867452 2.790291e-08 2.050120e-12 650.935286 1.769847e+09
0.0527797382 3206.683771 2794808.442281 2.867450 2.575206e-08 5.504765e-13 650.935623 1.743957e+09
0.0527816264 3206.684793 2794807.828357 2.867449 2.490000e-08 0.000000e+00 650.935952 1.710432e+09
0.0527835146 3206.685800 2794807.232968 2.867448 2.475135e-08 0.000000e+00 650.936271 1.672562e+09
0.0527854028 3206.686786 2794806.656746 2.867446 2.486480e-08 8.207688e-14 650.936580 1.634733e+09
0.0527872910 3206.687751 2794806.099203 2.867445 2.496331e-08 1.901388e-14 650.936878 1.599663e+09
0.0527983074 3206.693048 2794803.118866 2.867438 2.497622e-08 0.000000e+00 650.938474 1.427481e+09
0.0528093239 3206.697846 2794800.517723 2.867432 2.497841e-08 4.894953e-13 650.939865 1.302008e+09
0.0528203404 3206.702283 2794798.184456 2.867426 2.492115e-08 1.096489e-14 650.941114 1.215076e+09
0.0528313569 3206.706441 2794796.043398 2.867421 2.490358e-08 0.000000e+00 650.942260 1.143776e+09
0.0528644063 3206.717268 2794790.628498 2.867408 2.490407e-08 0.000000e+00 650.945160 9.914472e+08
0.0528974557 3206.726871 2794785.879261 2.867397 2.490445e-08 3.339319e-17 650.947705 8.678418e+08
0.0529305051 3206.735417 2794781.684355 2.867387 2.490432e-08 3.307891e-16 650.949954 7.735263e+08
0.0532609993 3206.777811 2794761.035480 2.867338 2.490322e-08 3.785918e-16 650.961021 3.235121e+08
0.0535914935 3206.795976 2794752.205461 2.867318 2.490302e-08 0.000000e+00 650.965751 1.286833e+08
0.0539219877 3206.803288 2794748.652400 2.867309 2.490233e-08 4.209462e-16 650.967653 4.995959e+07
0.0566962218 3206.808465 2794746.134563 2.867303 2.490092e-08 0.000000e+00 650.969001 -5.949542e+06
0.0594704559 3206.808079 2794746.306177 2.867304 2.490116e-08 3.321902e-14 650.968906 1.450169e+06
0.0622446901 3206.807944 2794746.369027 2.867304 2.489994e-08 0.000000e+00 650.968872 -1.844840e+05
0.0800802656 3206.807933 2794746.371450 2.867304 2.489536e-08 0.000000e+00 650.968870 9.126803e+05
0.0979158411 3206.807936 2794746.369516 2.867304 2.489751e-08 0.000000e+00 650.968871 4.691432e+04
0.1157514166 3206.807945 2794746.353063 2.867304 2.489839e-08 4.277027e-15 650.968878 -9.077490e+04
0.1357514166 3206.807946 2794746.349736 2.867304 2.489869e-08 0.000000e+00 650.968880 -7.858720e+03
0.1557514166 3206.807947 2794746.348912 2.867304 2.489885e-08 6.910017e-17 650.968880 -4.060638e+03
0.1757514166 3206.807947 2794746.348783 2.867304 2.489895e-08 0.000000e+00 650.968880 -2.482355e+03
0.1957514166 3206.807947 2794746.348641 2.867304 2.489900e-08 2.866413e-17 650.968880 -2.164703e+03
0.2000000000 3206.807947 2794746.348637 2.867304 2.489901e-08 0.000000e+00 650.968880 -1.418630e+01
